title,product_url,new_price,old_price,discount,features
Apple MacBook Air 13 MW133 M4 Chip 10 Core CPU 10 Core GPU 16GB Ram 512GB SSD Midnight ,https://www.mega.pk/laptop_products/26785/Apple-MacBook-Air-13-MW133-M4-Chip-10-Core-CPU-10-Core-GPU-16GB-Ram-512GB-SSD-Midnight.html,"384,999 - PKR
374,999 - PKR","384,999 - PKR",3 % Off,Apple M4 Chip|RAM: 16GB|Screen: 13.6 Inch|OS: macOS|Storage: 512GB SSD|Speed: 10 Core CPU with 4 performance cores and 6 efficiency cores
Apple MacBook Air 13 MC6T4 M4 Chip 10 Core CPU 8 Core GPU 16GB Ram 256GB SSD Sky Blue ,https://www.mega.pk/laptop_products/26583/Apple-MacBook-Air-13-MC6T4-M4-Chip-10-Core-CPU-8-Core-GPU-16GB-Ram-256GB-SSD-Sky-Blue.html,"339,999 - PKR",,N/A,Apple M4 Chip|RAM: 16GB|Screen: 13.6 Inch|OS: macOS|Storage: 256GB SSD|Speed: 10 Core CPU with 4 performance cores and 6 efficiency cores
Apple MacBook Air 13 MC6U4 M4 Chip 10 Core CPU 10 Core GPU 16GB Ram 512GB SSD Sky Blue ,https://www.mega.pk/laptop_products/26582/Apple-MacBook-Air-13-MC6U4-M4-Chip-10-Core-CPU-10-Core-GPU-16GB-Ram-512GB-SSD-Sky-Blue.html,"389,999 - PKR
379,499 - PKR","389,999 - PKR",3 % Off,Apple M4 Chip|RAM: 16GB|Screen: 13.6 Inch|OS: macOS|Storage: 512GB SSD|Speed: 10 Core CPU with 4 performance cores and 6 efficiency cores
Apple MacBook Air 13 MW123 M4 Chip 10 Core CPU 8 Core GPU 16GB Ram 256GB SSD Midnight ,https://www.mega.pk/laptop_products/26581/Apple-MacBook-Air-13-MW123-M4-Chip-10-Core-CPU-8-Core-GPU-16GB-Ram-256GB-SSD-Midnight.html,"339,999 - PKR",,N/A,Apple M4 Chip|RAM: 16GB|Screen: 13.6 Inch|OS: macOS|Storage: 256GB SSD|Speed: 10 Core CPU with 4 performance cores and 6 efficiency cores
Apple MacBook Air 13 MW0Y3 M4 Chip 10 Core CPU 8 Core GPU 16GB Ram 256GB SSD Starlight ,https://www.mega.pk/laptop_products/26580/Apple-MacBook-Air-13-MW0Y3-M4-Chip-10-Core-CPU-8-Core-GPU-16GB-Ram-256GB-SSD-Starlight.html,"339,999 - PKR",,N/A,Apple M4 Chip|RAM: 16GB|Screen: 13.6 Inch|OS: macOS|Storage: 256GB SSD|Speed: 10 Core CPU with 4 performance cores and 6 efficiency cores
Lenovo Legion Pro 7 16IAX10H Core Ultra 9 32GB RAM 1TB SSD 16GB RTX 5080 Windows 11,https://www.mega.pk/laptop_products/27072/Lenovo-Legion-Pro-7-16IAX10H-Core-Ultra-9-32GB-RAM-1TB-SSD-16GB-RTX-5080-Windows-11.html,"949,999 - PKR",,N/A,Intel Core Ultra 9 275HX|RAM: 32GB|Screen: 16 inches|OS: Windows 11|Storage: 1TB SSD|M.2 2280 PCIe 5.0x4|Speed: up to 5.40 GHz
Dell 15 DC15250 Core i7 13th Generation 16GB RAM 512GB SSD Windows 11,https://www.mega.pk/laptop_products/27068/Dell-15-DC15250-Core-i7-13th-Generation-16GB-RAM-512GB-SSD-Windows-11.html,"239,999 - PKR",,N/A,Intel Core i7 1355U|RAM: 16GB|Screen: 15.6 Inch|OS: Windows 11|Storage: 512GB SSD|Speed: up to 5.00 GHz
Apple MacBook Air 15 M4 Chip 10 Core CPU 10 Core GPU 24GB Ram 1TB SSD Silver ,https://www.mega.pk/laptop_products/27066/Apple-MacBook-Air-15-M4-Chip-10-Core-CPU-10-Core-GPU-24GB-Ram-1TB-SSD-Silver.html,"524,999 - PKR",,N/A,Apple M4 Chip|RAM: 24GB|Screen: 15.3 Inch|OS: macOS|Storage: 1TB SSD|Speed: 10 Core CPU with 4 performance cores and 6 efficiency cores
Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition Core Ultra 7 32GB RAM 1TB SSD Windows 11 Pro,https://www.mega.pk/laptop_products/27053/Lenovo-ThinkPad-X1-Carbon-Gen-13-Aura-Edition-Core-Ultra-7-32GB-RAM-1TB-SSD-Windows-11-Pro.html,"574,999 - PKR",,N/A,Intel Core Ultra 7 255U|RAM: 32GB|Screen: 14 Inches|OS: Windows 11 Pro|Storage: 1TB SSD|M.2 2280 PCIe 4.0×4 NVMe Opal 2.0|Speed: up to 5.20 GHz
HP AI 15 FD2050wm Core Ultra 5 8GB RAM 512GB SSD Windows 11 Touch,https://www.mega.pk/laptop_products/27052/HP-AI-15-FD2050wm-Core-Ultra-5-8GB-RAM-512GB-SSD-Windows-11-Touch.html,"189,999 - PKR",,N/A,Intel Core Ultra 5 225U|RAM: 8GB|Screen: 15.6 Inch|OS: Windows 11|Storage: 512GB SSD|PCIe NVMe M.2 SSD|Speed: Up to 4.80 GHz
Apple Macbook Pro 16 M5 Max Chip 18 Core CPU 40 Core GPU 64GB RAM 2TB SSD Nano Texture Display,https://www.mega.pk/laptop_products/27051/Apple-Macbook-Pro-16-M5-Max-Chip-18-Core-CPU-40-Core-GPU-64GB-RAM-2TB-SSD-Nano-Texture-Display.html,"1,899,999 - PKR",,N/A,Apple M5 Max chip|RAM: 64GB|Screen: 16.2 Inches|OS: macOS|Storage: 2TB SSD
HP OmniBook 5 16 AF1055cl Core Ultra 5 16GB RAM 1TB SSD Windows 11 Touch,https://www.mega.pk/laptop_products/27050/HP-OmniBook-5-16-AF1055cl-Core-Ultra-5-16GB-RAM-1TB-SSD-Windows-11-Touch.html,"229,999 - PKR",,N/A,Intel Core Ultra 5 225U|RAM: 16GB|Screen: 16 inches|OS: Windows 11|Storage: 1TB SSD|PCIe Gen4 NVMe M.2 SSD|Speed: up to 4.8 GHz
HP OMEN Slim 16 AN0075cl Core Ultra 9 32GB RAM 1TB SSD 8GB RTX 5070 Windows 11,https://www.mega.pk/laptop_products/27049/HP-OMEN-Slim-16-AN0075cl-Core-Ultra-9-32GB-RAM-1TB-SSD-8GB-RTX-5070-Windows-11.html,"551,999 - PKR
539,999 - PKR","551,999 - PKR",2 % Off,Intel Core Ultra 9 285H|RAM: 32GB|Screen: 16 Inches|OS: Windows 11|Storage: 1TB SSD|1 TB PCIe Gen4 NVMe M.2 SSD|Speed: up to 5.4 GHz
