title,price,location,beds,baths,area,url,property_type,purpose,creation_date
1 KANAL LAWN PLUS 1 KANAL BRAND NEW ULTRA MODERN FULLY FURNISHED LUXURY VILLA FOR SALE IN PHASE 6 NEAR TO RAYA.,14.45 Crore,"DHA Phase 6, DHA Defence",5,6,2 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_lawn_plus_1_kanal_brand_new_ultra_modern_fully_furnished_luxury_villa_for_sale_in_phase_6_near_to_raya-54333363-1448-1.html,House,For Sale,1 hour ago
One Kanal Brand New Luxury Ultra-Modern Design Most Beautiful Full Basement Fully Furnished Swimming Pool Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid & Defence Raya Fairways Commercial,16.5 Crore,"DHA Phase 6 - Block K, DHA Phase 6",6,7,1 Kanal,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_one_kanal_brand_new_luxury_ultra-modern_design_most_beautiful_full_basement_fully_furnished_swimming_pool_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_defence_raya_fairways_commercial-52744421-1619-1.html,House,For Sale,6 hours ago
Lavish 5 Marla House With Modern Interior For Sale In DHA Phase 6,2.69 Crore,"DHA Phase 6, DHA Defence",3,4,5 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_6_lavish_5_marla_house_with_modern_interior_for_sale_in_dha_phase_6-54220663-1448-1.html,House,For Sale,7 hours ago
Buying A House In Lahore?,4.7 Crore,"Askari 11, Askari",3,3,10 Marla,https://www.zameen.com/Property/askari_askari_11_buying_a_house_in_lahore-54452426-1503-1.html,House,For Sale,7 hours ago
Looking For A House In Lahore,8.5 Crore,"Askari 11, Askari",4,5,1 Kanal,https://www.zameen.com/Property/askari_askari_11_looking_for_a_house_in_lahore-54452427-1503-1.html,House,For Sale,7 hours ago
"Fully Furnished Apartments In Wapda Town Lowest Price, Highest Returns!",1.1 Crore,"Wapda Town, Lahore",2,2,3.9 Marla,https://www.zameen.com/Property/lahore_wapda_town_fully_furnished_apartments_in_wapda_town_lowest_price_highest_returns-54324466-423-1.html,Flat,For Sale,1 hour ago
Invest in Royal Swiss Hotel 15% Guaranteed Rental Return,57 Lakh,"Gulberg 3, Gulberg",1,1,1 Marla,https://www.zameen.com/Property/gulberg_gulberg_3_invest_in_royal_swiss_hotel_15_guaranteed_rental_return-54452697-3824-1.html,Flat,For Sale,2 hours ago
"Fully Furnished Swiss International Hotel Suites | Best ROI + 30 Free Vouchers | Earn Up to PKR 62,000 Monthly Rent Flat For Sale",60 Lakh,"Gulberg, Lahore",1,1,1.1 Marla,https://www.zameen.com/Property/lahore_gulberg_fully_furnished_swiss_international_hotel_suites_best_roi_30_free_vouchers_earn_up_to_pkr_62_000_monthly_rent_flat_for_sale-54341420-7-1.html,Flat,For Sale,2 hours ago
Own a Luxury Royal Swiss Hotel Suite & Earn 15% Guaranteed Annual Rental,45 Lakh,"Gulberg, Lahore",1,1,1.1 Marla,https://www.zameen.com/Property/lahore_gulberg_own_a_luxury_royal_swiss_hotel_suite_earn_15_guaranteed_annual_rental-54452671-7-1.html,House,For Sale,2 hours ago
1 Kanal Brand New Ultra Luxury Designer House | Prime DHA Location | Modern Elevation,11 Crore,"DHA Phase 6, DHA Defence",5,6,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_ultra_luxury_designer_house_prime_dha_location_modern_elevation-53680561-1448-1.html,House,For Sale,4 hours ago
